o,d,mode,component,value,unit,status,source
202,205,car,ivt,22.686,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,206,car,ivt,16.469,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,207,car,ivt,15.333,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,208,car,ivt,16.999,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,209,car,ivt,16.545,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,210,car,ivt,20.058,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,211,car,ivt,22.510,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,212,car,ivt,25.859,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,213,car,ivt,32.422,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,214,car,ivt,37.717,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,215,car,ivt,43.567,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,216,car,ivt,55.486,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,217,car,ivt,69.595,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,101,car,ivt,33.797,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,102,car,ivt,32.731,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,103,car,ivt,30.286,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,104,car,ivt,28.013,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,301,car,ivt,31.597,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,302,car,ivt,29.773,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,303,car,ivt,27.785,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,304,car,ivt,26.206,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,201,car,ivt,17.601,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,202,car,ivt,11.522,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,203,car,ivt,6.012,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,204,car,ivt,8.501,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,205,car,ivt,10.466,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,206,car,ivt,12.925,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,207,car,ivt,12.825,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,208,car,ivt,14.146,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,209,car,ivt,16.394,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,210,car,ivt,20.508,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,211,car,ivt,23.869,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,212,car,ivt,25.778,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,213,car,ivt,32.359,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,214,car,ivt,37.888,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,215,car,ivt,43.844,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,216,car,ivt,56.306,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,217,car,ivt,71.102,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,101,car,ivt,32.259,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,102,car,ivt,31.475,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,103,car,ivt,29.300,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,104,car,ivt,27.453,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,301,car,ivt,29.901,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,302,car,ivt,28.232,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,303,car,ivt,26.417,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
203,304,car,ivt,25.388,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,201,car,ivt,18.785,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,202,car,ivt,12.773,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,203,car,ivt,7.839,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,204,car,ivt,7.192,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,205,car,ivt,6.620,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,206,car,ivt,9.889,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,207,car,ivt,12.163,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,208,car,ivt,14.539,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,209,car,ivt,17.522,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,210,car,ivt,21.590,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,211,car,ivt,24.090,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,212,car,ivt,25.835,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,213,car,ivt,32.321,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,214,car,ivt,37.931,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,215,car,ivt,43.906,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,216,car,ivt,56.626,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,217,car,ivt,71.781,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,101,car,ivt,31.360,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,102,car,ivt,30.753,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,103,car,ivt,28.767,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,104,car,ivt,27.200,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,301,car,ivt,28.935,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,302,car,ivt,27.381,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,303,car,ivt,25.701,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
204,304,car,ivt,25.025,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,201,car,ivt,20.605,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,202,car,ivt,14.291,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,203,car,ivt,9.720,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,204,car,ivt,7.369,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,205,car,ivt,5.877,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,206,car,ivt,10.291,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,207,car,ivt,16.994,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,208,car,ivt,12.184,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,209,car,ivt,16.695,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,210,car,ivt,22.052,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,211,car,ivt,24.023,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,212,car,ivt,25.630,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,213,car,ivt,32.001,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,214,car,ivt,37.644,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,215,car,ivt,43.615,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,216,car,ivt,56.497,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,217,car,ivt,71.904,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,101,car,ivt,30.438,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,102,car,ivt,29.956,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,103,car,ivt,28.114,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,104,car,ivt,26.759,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,301,car,ivt,27.977,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,302,car,ivt,26.514,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,303,car,ivt,24.941,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
205,304,car,ivt,24.720,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,201,car,ivt,22.192,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,202,car,ivt,17.678,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,203,car,ivt,13.597,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,204,car,ivt,8.361,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,205,car,ivt,10.222,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,206,car,ivt,6.013,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,207,car,ivt,7.875,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,208,car,ivt,10.573,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,209,car,ivt,14.802,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,210,car,ivt,20.532,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,211,car,ivt,21.522,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,212,car,ivt,22.566,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,213,car,ivt,28.864,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,214,car,ivt,34.515,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,215,car,ivt,40.481,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,216,car,ivt,53.434,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,217,car,ivt,62.195,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,101,car,ivt,27.312,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,102,car,ivt,26.780,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,103,car,ivt,24.914,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,104,car,ivt,23.253,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,301,car,ivt,24.870,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,302,car,ivt,23.360,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,303,car,ivt,21.753,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
206,304,car,ivt,21.397,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,201,car,ivt,19.983,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,202,car,ivt,15.415,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,203,car,ivt,12.825,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,204,car,ivt,12.163,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,205,car,ivt,11.895,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,206,car,ivt,10.106,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,207,car,ivt,3.958,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,208,car,ivt,8.577,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,209,car,ivt,12.313,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,210,car,ivt,15.921,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,211,car,ivt,19.151,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,212,car,ivt,20.784,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,213,car,ivt,27.215,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,214,car,ivt,32.841,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,215,car,ivt,37.344,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,216,car,ivt,51.639,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,217,car,ivt,67.045,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,101,car,ivt,26.466,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,102,car,ivt,25.735,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,103,car,ivt,23.663,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,104,car,ivt,22.062,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,301,car,ivt,24.099,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,302,car,ivt,22.446,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,303,car,ivt,20.673,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
207,304,car,ivt,19.886,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,201,car,ivt,19.900,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,202,car,ivt,16.104,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,203,car,ivt,14.146,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,204,car,ivt,13.848,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,205,car,ivt,13.826,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,206,car,ivt,12.147,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,207,car,ivt,7.072,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,208,car,ivt,6.473,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,209,car,ivt,9.619,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,210,car,ivt,17.961,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,211,car,ivt,17.455,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,212,car,ivt,18.572,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,213,car,ivt,25.496,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,214,car,ivt,31.106,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,215,car,ivt,34.320,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,216,car,ivt,49.855,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,217,car,ivt,60.878,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,101,car,ivt,25.236,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,102,car,ivt,24.373,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,103,car,ivt,22.177,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,104,car,ivt,18.629,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,301,car,ivt,22.941,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,302,car,ivt,21.198,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,303,car,ivt,19.325,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
208,304,car,ivt,18.296,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
209,201,car,ivt,30.726,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
209,202,car,ivt,16.552,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
209,203,car,ivt,16.394,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
209,204,car,ivt,16.810,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
209,205,car,ivt,17.135,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
