TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
110,0,0,,0,0,,,0,0,15769.75,0.00,no service,0,0,,0,0,,,0,0,23274.54,0.00,no service,0,,,
231,0,0,,0,0,,,0,0,12486.75,0.00,no service,0,0,,0,0,,,0,0,19942.96,0.00,no service,0,,,
1912,0,0,,0,0,,,0,0,29469.01,0.00,no service,0,0,,0,0,,,0,0,30449.68,0.00,no service,0,,,
242,0,0,,0,0,,,0,0,11328.59,0.00,no service,0,0,,0,0,,,0,0,18849.57,0.00,no service,0,,,
3003,0,0,,0,0,,,0,0,25274.05,0.00,no service,0,0,,0,0,,,0,0,30579.75,0.00,no service,0,,,
2307,0,0,,0,0,,,0,0,12074.33,0.00,no service,0,0,,0,0,,,0,0,12074.33,0.00,no service,0,,,
2301,0,0,,0,0,,,0,0,7812.42,0.00,no service,0,0,,0,0,,,0,0,7812.42,0.00,no service,0,,,
1913,0,0,,0,0,,,0,0,27379.81,0.00,no service,0,0,,0,0,,,0,0,30131.72,0.00,no service,0,,,
1911,0,0,,0,0,,,0,0,23808.97,0.00,no service,0,0,,0,0,,,0,0,24592.23,0.00,no service,0,,217.00,Nazareth
1933,0,0,,0,0,,,0,0,23550.38,0.00,no service,0,0,,0,0,,,0,0,24219.91,0.00,no service,0,,,
1934,0,0,,0,0,,,0,0,24465.69,0.00,no service,0,0,,0,0,,,0,0,25108.34,0.00,no service,0,,,
210,0,0,,0,0,,,0,0,16442.17,0.00,no service,0,0,,0,0,,,0,0,23914.28,0.00,no service,0,,,
2303,0,0,,0,0,,,0,0,8737.58,0.00,no service,0,0,,0,0,,,0,0,10796.07,0.00,no service,0,,,
239,0,0,,0,0,,,0,0,14316.65,0.00,no service,0,0,,0,0,,,0,0,21807.07,0.00,no service,0,,,
240,0,0,,0,0,,,0,0,14625.24,0.00,no service,0,0,,0,0,,,0,0,22196.32,0.00,no service,0,,,
402,0,0,,0,0,,,0,0,10444.58,0.00,no service,0,0,,0,0,,,0,0,16871.34,0.00,no service,0,,,
310,0,0,,0,0,,,0,0,16716.36,0.00,no service,0,0,,0,0,,,0,0,21362.27,0.00,no service,0,,,
208,0,0,,0,0,,,0,0,11235.73,0.00,no service,0,0,,0,0,,,0,0,18682.79,0.00,no service,0,,,
1903,0,0,,0,0,,,0,0,24954.38,0.00,no service,0,0,,0,0,,,0,0,27431.22,0.00,no service,0,,217.00,Nazareth
1916,0,0,,0,0,,,0,0,25962.49,0.00,no service,0,0,,0,0,,,0,0,28643.31,0.00,no service,0,,217.00,Nazareth
1917,0,0,,0,0,,,0,0,26011.16,0.00,no service,0,0,,0,0,,,0,0,28289.11,0.00,no service,0,,217.00,Nazareth
1003,0,0,,0,0,,,0,0,17211.49,0.00,no service,0,0,,0,0,,,0,0,20803.45,0.00,no service,0,,,
1004,0,0,,0,0,,,0,0,15129.26,0.00,no service,0,0,,0,0,,,0,0,18525.76,0.00,no service,0,,,
1907,0,0,,0,0,,,0,0,20844.57,0.00,no service,0,0,,0,0,,,0,0,21907.52,0.00,no service,0,,217.00,Nazareth
336,0,0,,0,0,,,0,0,18084.35,0.00,no service,0,0,,0,0,,,0,0,25264.75,0.00,no service,0,,,
1904,0,0,,0,0,,,0,0,23710.42,0.00,no service,0,0,,0,0,,,0,0,26056.60,0.00,no service,0,,217.00,Nazareth
338,0,0,,0,0,,,0,0,21112.26,0.00,no service,0,0,,0,0,,,0,0,27919.22,0.00,no service,0,,,
317,0,0,,0,0,,,0,0,24818.09,0.00,no service,0,0,,0,0,,,0,0,31514.04,0.00,no service,0,,,
1902,0,0,,0,0,,,0,0,23670.41,0.00,no service,0,0,,0,0,,,0,0,26901.87,0.00,no service,0,,,
404,0,0,,0,0,,,0,0,9950.10,0.00,no service,0,0,,0,0,,,0,0,13925.73,0.00,no service,0,,,
418,0,0,,0,0,,,0,0,9461.95,0.00,no service,0,0,,0,0,,,0,0,13436.87,0.00,no service,0,,,
419,0,0,,0,0,,,0,0,7140.15,0.00,no service,0,0,,0,0,,,0,0,11672.21,0.00,no service,0,,,
3002,0,0,,0,0,,,0,0,23307.00,0.00,no service,0,0,,0,0,,,0,0,28432.03,0.00,no service,0,,,
3011,0,0,,0,0,,,0,0,22277.53,0.00,no service,0,0,,0,0,,,0,0,27067.74,0.00,no service,0,,,
3012,0,0,,0,0,,,0,0,21653.47,0.00,no service,0,0,,0,0,,,0,0,26741.74,0.00,no service,0,,,
1905,0,0,,0,0,,,0,0,28516.10,0.00,no service,0,0,,0,0,,,0,0,30551.61,0.00,no service,0,,217.00,Nazareth
2416,0,0,,0,0,,,0,0,16996.41,0.00,no service,0,0,,0,0,,,0,0,19842.95,0.00,no service,0,,,
401,0,0,,0,0,,,0,0,12106.44,0.00,no service,0,0,,0,0,,,0,0,18644.61,0.00,no service,0,,,
1906,0,0,,0,0,,,0,0,25378.39,0.00,no service,0,0,,0,0,,,0,0,27031.05,0.00,no service,0,,217.00,Nazareth
318,0,0,,0,0,,,0,0,26987.41,0.00,no service,0,0,,0,0,,,0,0,33435.74,0.00,no service,0,,,
2411,0,0,,0,0,,,0,0,13068.27,0.00,no service,0,0,,0,0,,,0,0,15821.13,0.00,no service,0,,,
101,0,0,,0,0,,,0,0,23898.69,0.00,no service,0,0,,0,0,,,0,0,30037.01,0.00,no service,0,,,
2213,0,0,,0,0,,,0,0,15537.28,0.00,no service,0,0,,0,0,,,0,0,17850.21,0.00,no service,0,,,
2105,0,0,,0,0,,,0,0,21441.00,0.00,no service,0,0,,0,0,,,0,0,21933.14,0.00,no service,0,,,
2110,0,0,,0,0,,,0,0,21929.80,0.00,no service,0,0,,0,0,,,0,0,22366.11,0.00,no service,0,,,
2108,0,0,,0,0,,,0,0,22745.70,0.00,no service,0,0,,0,0,,,0,0,23231.06,0.00,no service,0,,,
2109,0,0,,0,0,,,0,0,22984.71,0.00,no service,0,0,,0,0,,,0,0,23552.78,0.00,no service,0,,,
2106,0,0,,0,0,,,0,0,21556.64,0.00,no service,0,0,,0,0,,,0,0,22107.41,0.00,no service,0,,,
1106,0,0,,0,0,,,0,0,6656.23,0.00,no service,0,0,,0,0,,,0,0,6656.23,0.00,no service,0,,,
1104,0,0,,0,0,,,0,0,7956.05,0.00,no service,0,0,,0,0,,,0,0,8042.34,0.00,no service,0,,,
2102,0,0,,0,0,,,0,0,16849.09,0.00,no service,0,0,,0,0,,,0,0,17507.53,0.00,no service,0,,,
2220,0,0,,0,0,,,0,0,12645.75,0.00,no service,0,0,,0,0,,,0,0,13538.68,0.00,no service,0,,,
1102,0,0,,0,0,,,0,0,10465.13,0.00,no service,0,0,,0,0,,,0,0,11946.41,0.00,no service,0,,215.00,Shefaram
1002,0,0,,0,0,,,0,0,13628.05,0.00,no service,0,0,,0,0,,,0,0,16219.63,0.00,no service,0,,216.00,Hamovil
315,0,0,,0,0,,,0,0,18908.70,0.00,no service,0,0,,0,0,,,0,0,25806.51,0.00,no service,0,,,
335,0,0,,0,0,,,0,0,15580.27,0.00,no service,0,0,,0,0,,,0,0,22448.91,0.00,no service,0,,,
2005,0,0,,0,0,,,0,0,29103.41,0.00,no service,0,0,,0,0,,,0,0,31420.13,0.00,no service,0,,217.00,Nazareth
2002,0,0,,0,0,,,0,0,25708.06,0.00,no service,0,0,,0,0,,,0,0,27090.08,0.00,no service,0,,217.00,Nazareth
2003,0,0,,0,0,,,0,0,26464.39,0.00,no service,0,0,,0,0,,,0,0,27916.03,0.00,no service,0,,217.00,Nazareth
2008,0,0,,0,0,,,0,0,26589.45,0.00,no service,0,0,,0,0,,,0,0,27976.03,0.00,no service,0,,217.00,Nazareth
2004,0,0,,0,0,,,0,0,28843.09,0.00,no service,0,0,,0,0,,,0,0,30387.35,0.00,no service,0,,217.00,Nazareth
2007,0,0,,0,0,,,0,0,26535.64,0.00,no service,0,0,,0,0,,,0,0,27675.91,0.00,no service,0,,217.00,Nazareth
2011,0,0,,0,0,,,0,0,26618.44,0.00,no service,0,0,,0,0,,,0,0,27605.68,0.00,no service,0,,217.00,Nazareth
2009,0,0,,0,0,,,0,0,26059.84,0.00,no service,0,0,,0,0,,,0,0,27118.62,0.00,no service,0,,217.00,Nazareth
321,0,0,,0,0,,,0,0,20436.80,0.00,no service,0,0,,0,0,,,0,0,26702.64,0.00,no service,0,,,
324,0,0,,0,0,,,0,0,19981.93,0.00,no service,0,0,,0,0,,,0,0,26549.01,0.00,no service,0,,,
326,0,0,,0,0,,,0,0,19314.84,0.00,no service,0,0,,0,0,,,0,0,26010.32,0.00,no service,0,,,
327,0,0,,0,0,,,0,0,19438.91,0.00,no service,0,0,,0,0,,,0,0,25856.81,0.00,no service,0,,,
328,0,0,,0,0,,,0,0,18550.39,0.00,no service,0,0,,0,0,,,0,0,25164.06,0.00,no service,0,,,
331,0,0,,0,0,,,0,0,17735.21,0.00,no service,0,0,,0,0,,,0,0,24173.97,0.00,no service,0,,,
332,0,0,,0,0,,,0,0,17304.62,0.00,no service,0,0,,0,0,,,0,0,23802.95,0.00,no service,0,,,
301,0,0,,0,0,,,0,0,24635.54,0.00,no service,0,0,,0,0,,,0,0,30624.93,0.00,no service,0,,,
309,0,0,,0,0,,,0,0,14380.67,0.00,no service,0,0,,0,0,,,0,0,21083.29,0.00,no service,0,,,
305,0,0,,0,0,,,0,0,17446.17,0.00,no service,0,0,,0,0,,,0,0,23500.07,0.00,no service,0,,,
236,0,0,,0,0,,,0,0,9005.29,0.00,no service,0,0,,0,0,,,0,0,16470.97,0.00,no service,0,,,
1001,0,0,,0,0,,,0,0,12419.18,0.00,no service,0,0,,0,0,,,0,0,15883.37,0.00,no service,0,,,
2404,0,0,,0,0,,,0,0,1276.74,0.00,no service,0,0,,0,0,,,0,0,1570.28,0.00,no service,0,,201.00,TiratCarmel
2405,0,0,,0,0,,,0,0,1243.75,0.00,no service,0,0,,0,0,,,0,0,1685.12,0.00,no service,0,,201.00,TiratCarmel
2406,0,0,,0,0,,,0,0,1180.13,0.00,no service,0,0,,0,0,,,0,0,2199.02,0.00,no service,0,,201.00,TiratCarmel
2407,0,0,,0,0,,,0,0,828.28,0.00,no service,0,0,,0,0,,,0,0,2921.42,0.00,no service,0,,201.00,TiratCarmel
2204,0,0,,0,0,,,0,0,11603.71,0.00,no service,0,0,,0,0,,,0,0,11603.71,0.00,no service,0,,,
2205,0,0,,0,0,,,0,0,12417.76,0.00,no service,0,0,,0,0,,,0,0,12417.76,0.00,no service,0,,,
2206,0,0,,0,0,,,0,0,12233.38,0.00,no service,0,0,,0,0,,,0,0,12233.38,0.00,no service,0,,,
1803,0,0,,0,0,,,0,0,3479.63,0.00,no service,0,0,,0,0,,,0,0,3479.63,0.00,no service,0,,,
1804,0,0,,0,0,,,0,0,2709.53,0.00,no service,0,0,,0,0,,,0,0,2709.53,0.00,no service,0,,,
1806,0,0,,0,0,,,0,0,3323.11,0.00,no service,0,0,,0,0,,,0,0,3323.11,0.00,no service,0,,,
1817,0,0,,0,0,,,0,0,3727.52,0.00,no service,0,0,,0,0,,,0,0,3727.52,0.00,no service,0,,,
1805,0,0,,0,0,,,0,0,3510.20,0.00,no service,0,0,,0,0,,,0,0,3510.20,0.00,no service,0,,,
801,0,0,,0,0,,,0,0,1611.14,0.00,no service,0,0,,0,0,,,0,0,4479.15,0.00,no service,0,,303.00,KiryatYam B+C
802,0,0,,0,0,,,0,0,1461.14,0.00,no service,0,0,,0,0,,,0,0,4025.91,0.00,no service,0,,303.00,KiryatYam B+C
804,0,0,,0,0,,,0,0,1542.62,0.00,no service,0,0,,0,0,,,0,0,3080.76,0.00,no service,0,,304.00,KiryatHaim West
803,0,0,,0,0,,,0,0,2339.50,0.00,no service,0,0,,0,0,,,0,0,3533.45,0.00,no service,0,,,
807,0,0,,0,0,,,0,0,867.16,0.00,no service,0,0,,0,0,,,0,0,2962.73,0.00,no service,0,,304.00,KiryatHaim West
805,0,0,,0,0,,,0,0,1222.26,0.00,no service,0,0,,0,0,,,0,0,3422.66,0.00,no service,0,,,
806,0,0,,0,0,,,0,0,630.03,0.00,no service,0,0,,0,0,,,0,0,3157.43,0.00,no service,0,,104.00,KiryatHaim
1311,0,0,,0,0,,,0,0,653.39,0.00,no service,0,0,,0,0,,,0,0,653.39,0.00,no service,0,,209.00,Namal-Giborim
1305,0,0,,0,0,,,0,0,841.25,0.00,no service,0,0,,0,0,,,0,0,841.25,0.00,no service,0,,,
1302,1,2,10001 83001,54,18,3.33,10.00,11,11,0.00,4.29,A,1,1,83001,36,12,5.00,10.00,9,9,0.00,4.29,A,1,Metronit 1 (red),207.00,Hamoshava
1504,0,0,,0,0,,,0,0,517.58,0.00,no service,0,0,,0,0,,,0,0,517.58,0.00,no service,0,,206.00,BatGalim-KiryatEliezer
1506,0,0,,0,0,,,0,0,833.57,0.00,no service,0,0,,0,0,,,0,0,833.57,0.00,no service,0,,206.00,BatGalim-KiryatEliezer
1509,0,0,,0,0,,,0,0,925.34,0.00,no service,0,0,,0,0,,,0,0,925.34,0.00,no service,0,,,
1510,1,2,10001 83001,54,18,3.33,10.00,11,11,0.00,2.13,A,1,1,83001,36,12,5.00,10.00,9,9,0.00,2.13,A,1,Metronit 1 (red),205.00,EinHayam
1511,0,0,,0,0,,,0,0,509.60,0.00,no service,0,0,,0,0,,,0,0,509.60,0.00,no service,0,,204.00,Hecht-Shprintzak
1513,1,2,10001 83001,54,18,3.33,10.00,11,11,0.00,2.22,A,1,1,83001,36,12,5.00,10.00,9,9,0.00,2.22,A,1,Metronit 1 (red),204.00,Hecht-Shprintzak
1512,0,0,,0,0,,,0,0,651.08,0.00,no service,0,0,,0,0,,,0,0,651.08,0.00,no service,0,,204.00,Hecht-Shprintzak
1514,0,0,,0,0,,,0,0,901.86,0.00,no service,0,0,,0,0,,,0,0,901.86,0.00,no service,0,,203.00,HofCarmel-NeveDavid
1610,0,0,,0,0,,,0,0,1082.42,0.00,no service,0,0,,0,0,,,0,0,1082.42,0.00,no service,0,,,
1611,0,0,,0,0,,,0,0,2084.53,0.00,no service,0,0,,0,0,,,0,0,2084.53,0.00,no service,0,,,
1612,0,0,,0,0,,,0,0,2323.47,0.00,no service,0,0,,0,0,,,0,0,2323.47,0.00,no service,0,,,
1613,0,0,,0,0,,,0,0,2094.60,0.00,no service,0,0,,0,0,,,0,0,2094.60,0.00,no service,0,,,
1632,0,0,,0,0,,,0,0,1685.42,0.00,no service,0,0,,0,0,,,0,0,1685.42,0.00,no service,0,,,
1608,0,0,,0,0,,,0,0,2189.76,0.00,no service,0,0,,0,0,,,0,0,2189.76,0.00,no service,0,,,
1630,0,0,,0,0,,,0,0,1958.66,0.00,no service,0,0,,0,0,,,0,0,1958.66,0.00,no service,0,,,
1607,0,0,,0,0,,,0,0,1009.76,0.00,no service,0,0,,0,0,,,0,0,1009.76,0.00,no service,0,,,
1605,0,0,,0,0,,,0,0,1511.04,0.00,no service,0,0,,0,0,,,0,0,1511.04,0.00,no service,0,,,
1604,0,0,,0,0,,,0,0,794.91,0.00,no service,0,0,,0,0,,,0,0,794.91,0.00,no service,0,,,
1602,0,0,,0,0,,,0,0,733.33,0.00,no service,0,0,,0,0,,,0,0,733.33,0.00,no service,0,,,
1404,0,0,,0,0,,,0,0,836.57,0.00,no service,0,0,,0,0,,,0,0,836.57,0.00,no service,0,,,
1406,0,0,,0,0,,,0,0,1365.45,0.00,no service,0,0,,0,0,,,0,0,1365.45,0.00,no service,0,,,
1414,0,0,,0,0,,,0,0,1579.81,0.00,no service,0,0,,0,0,,,0,0,1579.81,0.00,no service,0,,,
1418,0,0,,0,0,,,0,0,1446.50,0.00,no service,0,0,,0,0,,,0,0,1446.50,0.00,no service,0,,,
1411,0,0,,0,0,,,0,0,1301.70,0.00,no service,0,0,,0,0,,,0,0,1301.70,0.00,no service,0,,,
1402,0,0,,0,0,,,0,0,1095.73,0.00,no service,0,0,,0,0,,,0,0,1095.73,0.00,no service,0,,,
1416,0,0,,0,0,,,0,0,1082.41,0.00,no service,0,0,,0,0,,,0,0,1082.41,0.00,no service,0,,,
1408,0,0,,0,0,,,0,0,990.30,0.00,no service,0,0,,0,0,,,0,0,990.30,0.00,no service,0,,,
1410,0,0,,0,0,,,0,0,894.80,0.00,no service,0,0,,0,0,,,0,0,894.80,0.00,no service,0,,,
1415,0,0,,0,0,,,0,0,1139.72,0.00,no service,0,0,,0,0,,,0,0,1139.72,0.00,no service,0,,,
1405,0,0,,0,0,,,0,0,1489.85,0.00,no service,0,0,,0,0,,,0,0,1489.85,0.00,no service,0,,,
1701,0,0,,0,0,,,0,0,951.57,0.00,no service,0,0,,0,0,,,0,0,951.57,0.00,no service,0,,,
1702,0,0,,0,0,,,0,0,1146.57,0.00,no service,0,0,,0,0,,,0,0,1146.57,0.00,no service,0,,,
1703,0,0,,0,0,,,0,0,1469.14,0.00,no service,0,0,,0,0,,,0,0,1469.14,0.00,no service,0,,,
1705,0,0,,0,0,,,0,0,1845.41,0.00,no service,0,0,,0,0,,,0,0,1845.41,0.00,no service,0,,,
1731,0,0,,0,0,,,0,0,1791.06,0.00,no service,0,0,,0,0,,,0,0,1791.06,0.00,no service,0,,,
1714,0,0,,0,0,,,0,0,2034.09,0.00,no service,0,0,,0,0,,,0,0,2034.09,0.00,no service,0,,,
1713,0,0,,0,0,,,0,0,2018.51,0.00,no service,0,0,,0,0,,,0,0,2018.51,0.00,no service,0,,,
1706,0,0,,0,0,,,0,0,1722.85,0.00,no service,0,0,,0,0,,,0,0,1722.85,0.00,no service,0,,,
1707,0,0,,0,0,,,0,0,1670.40,0.00,no service,0,0,,0,0,,,0,0,1670.40,0.00,no service,0,,,
1708,0,0,,0,0,,,0,0,1787.19,0.00,no service,0,0,,0,0,,,0,0,1787.19,0.00,no service,0,,,
1712,0,0,,0,0,,,0,0,2808.50,0.00,no service,0,0,,0,0,,,0,0,2808.50,0.00,no service,0,,,
1717,0,0,,0,0,,,0,0,3367.51,0.00,no service,0,0,,0,0,,,0,0,3367.51,0.00,no service,0,,,
1715,0,0,,0,0,,,0,0,3396.77,0.00,no service,0,0,,0,0,,,0,0,3396.77,0.00,no service,0,,,
1716,0,0,,0,0,,,0,0,2956.33,0.00,no service,0,0,,0,0,,,0,0,2956.33,0.00,no service,0,,,
1711,0,0,,0,0,,,0,0,2494.21,0.00,no service,0,0,,0,0,,,0,0,2494.21,0.00,no service,0,,,
1710,0,0,,0,0,,,0,0,2456.32,0.00,no service,0,0,,0,0,,,0,0,2456.32,0.00,no service,0,,,
1618,0,0,,0,0,,,0,0,2855.57,0.00,no service,0,0,,0,0,,,0,0,2855.57,0.00,no service,0,,,
1614,0,0,,0,0,,,0,0,2479.84,0.00,no service,0,0,,0,0,,,0,0,2479.84,0.00,no service,0,,,
1615,0,0,,0,0,,,0,0,2388.61,0.00,no service,0,0,,0,0,,,0,0,2388.61,0.00,no service,0,,,
1616,0,0,,0,0,,,0,0,1594.61,0.00,no service,0,0,,0,0,,,0,0,1594.61,0.00,no service,0,,,
1626,0,0,,0,0,,,0,0,2106.84,0.00,no service,0,0,,0,0,,,0,0,2106.84,0.00,no service,0,,,
1619,0,0,,0,0,,,0,0,2427.74,0.00,no service,0,0,,0,0,,,0,0,2427.74,0.00,no service,0,,,
1617,0,0,,0,0,,,0,0,2631.63,0.00,no service,0,0,,0,0,,,0,0,2631.63,0.00,no service,0,,,
1625,0,0,,0,0,,,0,0,3493.49,0.00,no service,0,0,,0,0,,,0,0,3493.49,0.00,no service,0,,,
1622,0,0,,0,0,,,0,0,4056.98,0.00,no service,0,0,,0,0,,,0,0,4056.98,0.00,no service,0,,,
1623,0,0,,0,0,,,0,0,2557.02,0.00,no service,0,0,,0,0,,,0,0,2557.02,0.00,no service,0,,,
907,0,0,,0,0,,,0,0,4003.51,0.00,no service,0,0,,0,0,,,0,0,6556.70,0.00,no service,0,,,
908,0,0,,0,0,,,0,0,3743.43,0.00,no service,0,0,,0,0,,,0,0,5344.26,0.00,no service,0,,,
903,0,0,,0,0,,,0,0,2981.09,0.00,no service,0,0,,0,0,,,0,0,4914.27,0.00,no service,0,,213.00,KiryatAta North
909,0,0,,0,0,,,0,0,3098.48,0.00,no service,0,0,,0,0,,,0,0,4227.30,0.00,no service,0,,,
1909,0,0,,0,0,,,0,0,24705.02,0.00,no service,0,0,,0,0,,,0,0,25888.67,0.00,no service,0,,217.00,Nazareth
1929,0,0,,0,0,,,0,0,25223.09,0.00,no service,0,0,,0,0,,,0,0,26366.21,0.00,no service,0,,217.00,Nazareth
1926,0,0,,0,0,,,0,0,25244.92,0.00,no service,0,0,,0,0,,,0,0,26269.82,0.00,no service,0,,217.00,Nazareth
1928,0,0,,0,0,,,0,0,24599.26,0.00,no service,0,0,,0,0,,,0,0,25704.30,0.00,no service,0,,217.00,Nazareth
1908,0,0,,0,0,,,0,0,24047.91,0.00,no service,0,0,,0,0,,,0,0,25387.65,0.00,no service,0,,217.00,Nazareth
1923,0,0,,0,0,,,0,0,23613.91,0.00,no service,0,0,,0,0,,,0,0,24919.66,0.00,no service,0,,217.00,Nazareth
1924,0,0,,0,0,,,0,0,22421.30,0.00,no service,0,0,,0,0,,,0,0,23636.32,0.00,no service,0,,217.00,Nazareth
1930,0,0,,0,0,,,0,0,24259.54,0.00,no service,0,0,,0,0,,,0,0,25122.48,0.00,no service,0,,217.00,Nazareth
1931,0,0,,0,0,,,0,0,24591.33,0.00,no service,0,0,,0,0,,,0,0,25359.59,0.00,no service,0,,217.00,Nazareth
3001,0,0,,0,0,,,0,0,20804.94,0.00,no service,0,0,,0,0,,,0,0,26247.89,0.00,no service,0,,,
3004,0,0,,0,0,,,0,0,19098.89,0.00,no service,0,0,,0,0,,,0,0,24674.34,0.00,no service,0,,,
3008,0,0,,0,0,,,0,0,18308.42,0.00,no service,0,0,,0,0,,,0,0,23662.62,0.00,no service,0,,,
3009,0,0,,0,0,,,0,0,20261.07,0.00,no service,0,0,,0,0,,,0,0,25380.55,0.00,no service,0,,,
214,0,0,,0,0,,,0,0,8038.07,0.00,no service,0,0,,0,0,,,0,0,14737.75,0.00,no service,0,,,
215,0,0,,0,0,,,0,0,7329.13,0.00,no service,0,0,,0,0,,,0,0,14112.55,0.00,no service,0,,,
216,0,0,,0,0,,,0,0,7985.45,0.00,no service,0,0,,0,0,,,0,0,14489.52,0.00,no service,0,,,
605,0,0,,0,0,,,0,0,866.53,0.00,no service,0,0,,0,0,,,0,0,5263.40,0.00,no service,0,,103.00,KiryatBialik Center
603,0,0,,0,0,,,0,0,1130.36,0.00,no service,0,0,,0,0,,,0,0,5451.81,0.00,no service,0,,,
606,0,0,,0,0,,,0,0,1203.82,0.00,no service,0,0,,0,0,,,0,0,4974.51,0.00,no service,0,,,
607,0,0,,0,0,,,0,0,697.47,0.00,no service,0,0,,0,0,,,0,0,4699.15,0.00,no service,0,,103.00,KiryatBialik Center
609,0,0,,0,0,,,0,0,1013.40,0.00,no service,0,0,,0,0,,,0,0,4268.57,0.00,no service,0,,,
611,0,0,,0,0,,,0,0,1128.69,0.00,no service,0,0,,0,0,,,0,0,3840.74,0.00,no service,0,,,
610,0,0,,0,0,,,0,0,748.65,0.00,no service,0,0,,0,0,,,0,0,4069.81,0.00,no service,0,,103.00,KiryatBialik Center
608,0,0,,0,0,,,0,0,341.03,0.00,no service,0,0,,0,0,,,0,0,4398.32,0.00,no service,0,,103.00,KiryatBialik Center
612,0,0,,0,0,,,0,0,862.22,0.00,no service,0,0,,0,0,,,0,0,3701.84,0.00,no service,0,,104.00,KiryatHaim
405,0,0,,0,0,,,0,0,9928.03,0.00,no service,0,0,,0,0,,,0,0,13003.95,0.00,no service,0,,215.00,Shefaram
406,0,0,,0,0,,,0,0,6889.73,0.00,no service,0,0,,0,0,,,0,0,10659.54,0.00,no service,0,,215.00,Shefaram
407,0,0,,0,0,,,0,0,7833.61,0.00,no service,0,0,,0,0,,,0,0,10844.14,0.00,no service,0,,215.00,Shefaram
403,0,0,,0,0,,,0,0,11284.84,0.00,no service,0,0,,0,0,,,0,0,15985.44,0.00,no service,0,,,
412,0,0,,0,0,,,0,0,8546.61,0.00,no service,0,0,,0,0,,,0,0,13834.38,0.00,no service,0,,,
413,0,0,,0,0,,,0,0,11063.17,0.00,no service,0,0,,0,0,,,0,0,16544.58,0.00,no service,0,,,
415,0,0,,0,0,,,0,0,8831.85,0.00,no service,0,0,,0,0,,,0,0,14744.42,0.00,no service,0,,,
112,0,0,,0,0,,,0,0,17120.64,0.00,no service,0,0,,0,0,,,0,0,23297.55,0.00,no service,0,,,
105,0,0,,0,0,,,0,0,15952.29,0.00,no service,0,0,,0,0,,,0,0,22159.83,0.00,no service,0,,,
115,0,0,,0,0,,,0,0,17197.05,0.00,no service,0,0,,0,0,,,0,0,22865.42,0.00,no service,0,,,
106,0,0,,0,0,,,0,0,16489.11,0.00,no service,0,0,,0,0,,,0,0,22140.90,0.00,no service,0,,,
116,0,0,,0,0,,,0,0,15923.31,0.00,no service,0,0,,0,0,,,0,0,21573.49,0.00,no service,0,,,
2501,0,0,,0,0,,,0,0,18351.03,0.00,no service,0,0,,0,0,,,0,0,21197.84,0.00,no service,0,,,
2503,0,0,,0,0,,,0,0,19540.15,0.00,no service,0,0,,0,0,,,0,0,22386.87,0.00,no service,0,,,
