o,o_name,d,d_name,bus_ivt_min,bus_trips_0609,bus_trips_0708,bus_headway_0708_min,brt_ivt_min,brt_trips_0609,brt_trips_0708,brt_headway_0708_min
204,Hecht-Shprintzak,205,EinHayam,3.00,27,9,6.67,3.00,18.00,6.00,10.00
204,Hecht-Shprintzak,206,BatGalim-KiryatEliezer,6.00,26,9,6.67,6.00,17.00,6.00,10.00
204,Hecht-Shprintzak,207,Hamoshava,9.00,26,9,6.67,9.00,17.00,6.00,10.00
204,Hecht-Shprintzak,208,LowerCity,12.00,25,9,6.67,12.00,17.00,6.00,10.00
204,Hecht-Shprintzak,209,Namal-Giborim,15.00,24,9,6.67,15.00,16.00,6.00,10.00
204,Hecht-Shprintzak,210,Hamifrats,18.00,24,9,6.67,18.00,16.00,6.00,10.00
204,Hecht-Shprintzak,211,Bazan-Hutsot,21.00,24,9,6.67,21.00,16.00,6.00,10.00
204,Hecht-Shprintzak,212,TsometKiryatAta,24.00,8,3,20.00,,,,
205,EinHayam,201,TiratCarmel,12.00,9,3,20.00,,,,
205,EinHayam,202,Matam-NeotPeres,9.00,26,9,6.67,9.00,17.00,6.00,10.00
205,EinHayam,203,HofCarmel-NeveDavid,6.00,26,9,6.67,6.00,17.00,6.00,10.00
205,EinHayam,204,Hecht-Shprintzak,3.00,26,9,6.67,3.00,17.00,6.00,10.00
205,EinHayam,206,BatGalim-KiryatEliezer,3.00,26,9,6.67,3.00,17.00,6.00,10.00
205,EinHayam,207,Hamoshava,6.00,26,9,6.67,6.00,17.00,6.00,10.00
205,EinHayam,208,LowerCity,9.00,25,9,6.67,9.00,17.00,6.00,10.00
205,EinHayam,209,Namal-Giborim,12.00,24,9,6.67,12.00,16.00,6.00,10.00
205,EinHayam,210,Hamifrats,15.00,24,9,6.67,15.00,16.00,6.00,10.00
205,EinHayam,211,Bazan-Hutsot,18.00,24,9,6.67,18.00,16.00,6.00,10.00
205,EinHayam,212,TsometKiryatAta,21.00,8,3,20.00,,,,
206,BatGalim-KiryatEliezer,201,TiratCarmel,15.00,8,3,20.00,,,,
206,BatGalim-KiryatEliezer,202,Matam-NeotPeres,12.00,25,9,6.67,12.00,17.00,6.00,10.00
206,BatGalim-KiryatEliezer,203,HofCarmel-NeveDavid,9.00,25,9,6.67,9.00,17.00,6.00,10.00
206,BatGalim-KiryatEliezer,204,Hecht-Shprintzak,6.00,25,9,6.67,6.00,17.00,6.00,10.00
206,BatGalim-KiryatEliezer,205,EinHayam,3.00,26,9,6.67,3.00,18.00,6.00,10.00
206,BatGalim-KiryatEliezer,207,Hamoshava,3.00,27,9,6.67,3.00,18.00,6.00,10.00
206,BatGalim-KiryatEliezer,208,LowerCity,6.00,26,9,6.67,6.00,18.00,6.00,10.00
206,BatGalim-KiryatEliezer,209,Namal-Giborim,9.00,25,9,6.67,9.00,17.00,6.00,10.00
206,BatGalim-KiryatEliezer,210,Hamifrats,12.00,25,9,6.67,12.00,17.00,6.00,10.00
206,BatGalim-KiryatEliezer,211,Bazan-Hutsot,15.00,25,9,6.67,15.00,17.00,6.00,10.00
206,BatGalim-KiryatEliezer,212,TsometKiryatAta,18.00,8,3,20.00,,,,
207,Hamoshava,201,TiratCarmel,18.00,8,3,20.00,,,,
207,Hamoshava,202,Matam-NeotPeres,15.00,25,9,6.67,15.00,17.00,6.00,10.00
207,Hamoshava,203,HofCarmel-NeveDavid,12.00,25,9,6.67,12.00,17.00,6.00,10.00
207,Hamoshava,204,Hecht-Shprintzak,9.00,25,9,6.67,9.00,17.00,6.00,10.00
207,Hamoshava,205,EinHayam,6.00,26,9,6.67,6.00,18.00,6.00,10.00
207,Hamoshava,206,BatGalim-KiryatEliezer,3.00,27,9,6.67,3.00,18.00,6.00,10.00
207,Hamoshava,208,LowerCity,3.00,26,9,6.67,3.00,18.00,6.00,10.00
207,Hamoshava,209,Namal-Giborim,6.00,25,9,6.67,6.00,17.00,6.00,10.00
207,Hamoshava,210,Hamifrats,9.00,25,9,6.67,9.00,17.00,6.00,10.00
207,Hamoshava,211,Bazan-Hutsot,12.00,25,9,6.67,12.00,17.00,6.00,10.00
207,Hamoshava,212,TsometKiryatAta,15.00,8,3,20.00,,,,
208,LowerCity,201,TiratCarmel,21.00,8,3,20.00,,,,
208,LowerCity,202,Matam-NeotPeres,18.00,24,9,6.67,18.00,16.00,6.00,10.00
208,LowerCity,203,HofCarmel-NeveDavid,15.00,24,9,6.67,15.00,16.00,6.00,10.00
208,LowerCity,204,Hecht-Shprintzak,12.00,24,9,6.67,12.00,16.00,6.00,10.00
208,LowerCity,205,EinHayam,9.00,25,9,6.67,9.00,17.00,6.00,10.00
208,LowerCity,206,BatGalim-KiryatEliezer,6.00,26,9,6.67,6.00,17.00,6.00,10.00
208,LowerCity,207,Hamoshava,3.00,26,9,6.67,3.00,17.00,6.00,10.00
208,LowerCity,209,Namal-Giborim,3.00,26,9,6.67,3.00,17.00,6.00,10.00
208,LowerCity,210,Hamifrats,6.00,26,9,6.67,6.00,17.00,6.00,10.00
208,LowerCity,211,Bazan-Hutsot,9.00,26,9,6.67,9.00,17.00,6.00,10.00
208,LowerCity,212,TsometKiryatAta,12.00,9,3,20.00,,,,
209,Namal-Giborim,201,TiratCarmel,24.00,8,3,20.00,,,,
209,Namal-Giborim,202,Matam-NeotPeres,21.00,24,9,6.67,21.00,16.00,6.00,10.00
209,Namal-Giborim,203,HofCarmel-NeveDavid,18.00,24,9,6.67,18.00,16.00,6.00,10.00
209,Namal-Giborim,204,Hecht-Shprintzak,15.00,24,9,6.67,15.00,16.00,6.00,10.00
209,Namal-Giborim,205,EinHayam,12.00,25,9,6.67,12.00,17.00,6.00,10.00
209,Namal-Giborim,206,BatGalim-KiryatEliezer,9.00,26,9,6.67,9.00,17.00,6.00,10.00
209,Namal-Giborim,207,Hamoshava,6.00,26,9,6.67,6.00,17.00,6.00,10.00
209,Namal-Giborim,208,LowerCity,3.00,27,9,6.67,3.00,18.00,6.00,10.00
209,Namal-Giborim,210,Hamifrats,3.00,27,9,6.67,3.00,18.00,6.00,10.00
209,Namal-Giborim,211,Bazan-Hutsot,6.00,27,9,6.67,6.00,18.00,6.00,10.00
209,Namal-Giborim,212,TsometKiryatAta,9.00,9,3,20.00,,,,
210,Hamifrats,101,TsurShalom,18.00,9,4,15.00,,,,
210,Hamifrats,102,Kiryon,15.00,9,4,15.00,,,,
210,Hamifrats,103,KiryatBialik Center,12.00,9,4,15.00,,,,
210,Hamifrats,104,KiryatHaim,9.00,9,4,15.00,,,,
210,Hamifrats,201,TiratCarmel,27.00,8,3,20.00,,,,
210,Hamifrats,202,Matam-NeotPeres,24.00,24,9,6.67,24.00,16.00,6.00,10.00
210,Hamifrats,203,HofCarmel-NeveDavid,21.00,24,9,6.67,21.00,16.00,6.00,10.00
210,Hamifrats,204,Hecht-Shprintzak,18.00,24,9,6.67,18.00,16.00,6.00,10.00
210,Hamifrats,205,EinHayam,15.00,25,9,6.67,15.00,17.00,6.00,10.00
210,Hamifrats,206,BatGalim-KiryatEliezer,12.00,26,9,6.67,12.00,17.00,6.00,10.00
210,Hamifrats,207,Hamoshava,9.00,26,9,6.67,9.00,17.00,6.00,10.00
210,Hamifrats,208,LowerCity,6.00,27,9,6.67,6.00,18.00,6.00,10.00
210,Hamifrats,209,Namal-Giborim,3.00,27,9,6.67,3.00,18.00,6.00,10.00
210,Hamifrats,211,Bazan-Hutsot,3.00,36,13,4.62,3.00,18.00,6.00,10.00
210,Hamifrats,212,TsometKiryatAta,6.00,18,7,8.57,,,,
211,Bazan-Hutsot,101,TsurShalom,15.00,9,3,20.00,,,,
211,Bazan-Hutsot,102,Kiryon,12.00,9,3,20.00,,,,
211,Bazan-Hutsot,103,KiryatBialik Center,9.00,9,3,20.00,,,,
211,Bazan-Hutsot,104,KiryatHaim,6.00,9,3,20.00,,,,
211,Bazan-Hutsot,201,TiratCarmel,30.00,8,3,20.00,,,,
211,Bazan-Hutsot,202,Matam-NeotPeres,27.00,24,10,6.00,27.00,16.00,7.00,8.57
211,Bazan-Hutsot,203,HofCarmel-NeveDavid,24.00,24,10,6.00,24.00,16.00,7.00,8.57
211,Bazan-Hutsot,204,Hecht-Shprintzak,21.00,24,10,6.00,21.00,16.00,7.00,8.57
211,Bazan-Hutsot,205,EinHayam,18.00,25,10,6.00,18.00,17.00,7.00,8.57
211,Bazan-Hutsot,206,BatGalim-KiryatEliezer,15.00,26,10,6.00,15.00,17.00,7.00,8.57
211,Bazan-Hutsot,207,Hamoshava,12.00,26,10,6.00,12.00,17.00,7.00,8.57
211,Bazan-Hutsot,208,LowerCity,9.00,27,10,6.00,9.00,18.00,7.00,8.57
211,Bazan-Hutsot,209,Namal-Giborim,6.00,27,10,6.00,6.00,18.00,7.00,8.57
211,Bazan-Hutsot,210,Hamifrats,3.00,36,13,4.62,3.00,18.00,7.00,8.57
211,Bazan-Hutsot,212,TsometKiryatAta,3.00,18,6,10.00,,,,
212,TsometKiryatAta,101,TsurShalom,12.00,9,3,20.00,,,,
212,TsometKiryatAta,102,Kiryon,9.00,9,3,20.00,,,,
212,TsometKiryatAta,103,KiryatBialik Center,6.00,9,3,20.00,,,,
212,TsometKiryatAta,104,KiryatHaim,3.00,9,3,20.00,,,,
212,TsometKiryatAta,201,TiratCarmel,33.00,8,4,15.00,,,,
212,TsometKiryatAta,202,Matam-NeotPeres,30.00,8,4,15.00,,,,
212,TsometKiryatAta,203,HofCarmel-NeveDavid,27.00,8,4,15.00,,,,
212,TsometKiryatAta,204,Hecht-Shprintzak,24.00,8,4,15.00,,,,
212,TsometKiryatAta,205,EinHayam,21.00,8,4,15.00,,,,
212,TsometKiryatAta,206,BatGalim-KiryatEliezer,18.00,9,4,15.00,,,,
212,TsometKiryatAta,207,Hamoshava,15.00,9,4,15.00,,,,
212,TsometKiryatAta,208,LowerCity,12.00,9,4,15.00,,,,
212,TsometKiryatAta,209,Namal-Giborim,9.00,9,4,15.00,,,,
212,TsometKiryatAta,210,Hamifrats,6.00,18,7,8.57,,,,
212,TsometKiryatAta,211,Bazan-Hutsot,3.00,18,7,8.57,,,,
